unit,sex,age,region,year,value
YR,F,Y25,UK,2018,58.6
YR,F,Y83,UK,2018,8.0
YR,M,Y57,UK,2018,25.5
YR,M,Y83,UK,2018,7.1
YR,T,Y45,UK,2018,37.7
YR,M,Y75,UK,2018,11.7
YR,T,Y55,UK,2018,28.6
YR,T,Y30,UK,2018,52.0
YR,F,Y48,UK,2018,36.3
YR,T,Y69,UK,2018,16.9
YR,M,Y84,UK,2018,6.7
YR,F,Y32,UK,2018,51.7
YR,F,Y31,UK,2018,52.7
YR,T,Y25,UK,2018,56.9
YR,M,Y25,UK,2018,55.2
YR,M,Y24,UK,2018,56.1
YR,F,Y56,UK,2018,29.0
YR,T,Y11,UK,2018,70.7
YR,M,Y59,UK,2018,23.8
YR,T,Y6,UK,2018,75.6
YR,T,Y53,UK,2018,30.4
YR,M,Y42,UK,2018,38.9
YR,M,Y39,UK,2018,41.7
YR,F,Y25,UK,2017,58.6
YR,F,Y83,UK,2017,8.0
YR,M,Y57,UK,2017,25.4
YR,M,Y83,UK,2017,7.1
YR,T,Y45,UK,2017,37.7
YR,M,Y75,UK,2017,11.6
YR,T,Y55,UK,2017,28.5
YR,T,Y30,UK,2017,52.0
YR,F,Y48,UK,2017,36.3
YR,T,Y69,UK,2017,16.8
YR,M,Y84,UK,2017,6.6
YR,F,Y32,UK,2017,51.7
YR,F,Y31,UK,2017,52.7
YR,T,Y25,UK,2017,56.9
YR,M,Y25,UK,2017,55.1
YR,M,Y24,UK,2017,56.1
YR,F,Y56,UK,2017,29.0
YR,T,Y11,UK,2017,70.7
YR,M,Y59,UK,2017,23.7
YR,T,Y6,UK,2017,75.7
YR,T,Y53,UK,2017,30.3
YR,M,Y42,UK,2017,38.9
YR,M,Y39,UK,2017,41.7
YR,F,Y25,UK,2016,58.5
YR,F,Y83,UK,2016,8.1
YR,M,Y57,UK,2016,25.4
YR,M,Y83,UK,2016,7.1
YR,T,Y45,UK,2016,37.6
YR,M,Y75,UK,2016,11.6
YR,T,Y55,UK,2016,28.5
YR,T,Y30,UK,2016,52.0
YR,F,Y48,UK,2016,36.3
YR,T,Y69,UK,2016,16.9
YR,M,Y84,UK,2016,6.7
YR,F,Y32,UK,2016,51.7
YR,F,Y31,UK,2016,52.6
YR,T,Y25,UK,2016,56.8
YR,M,Y25,UK,2016,55.1
YR,M,Y24,UK,2016,56.1
YR,F,Y56,UK,2016,28.9
YR,T,Y11,UK,2016,70.6
YR,M,Y59,UK,2016,23.6
YR,T,Y6,UK,2016,75.6
YR,T,Y53,UK,2016,30.3
YR,M,Y42,UK,2016,38.8
YR,M,Y39,UK,2016,41.7
YR,F,Y25,UK,2015,58.3
YR,F,Y83,UK,2015,7.8
YR,M,Y57,UK,2015,25.1
YR,M,Y83,UK,2015,6.9
YR,T,Y45,UK,2015,37.4
YR,M,Y75,UK,2015,11.4
YR,T,Y55,UK,2015,28.3
YR,T,Y30,UK,2015,51.8
YR,F,Y48,UK,2015,36.0
YR,T,Y69,UK,2015,16.6
YR,M,Y84,UK,2015,6.5
YR,F,Y32,UK,2015,51.4
YR,F,Y31,UK,2015,52.4
YR,T,Y25,UK,2015,56.6
YR,M,Y25,UK,2015,54.9
YR,M,Y24,UK,2015,55.9
YR,F,Y56,UK,2015,28.7
YR,T,Y11,UK,2015,70.4
YR,M,Y59,UK,2015,23.4
YR,T,Y6,UK,2015,75.4
YR,T,Y53,UK,2015,30.1
YR,M,Y42,UK,2015,38.7
YR,M,Y39,UK,2015,41.5
YR,F,Y25,UK,2014,58.7
YR,F,Y83,UK,2014,8.3
YR,M,Y57,UK,2014,25.3
YR,M,Y83,UK,2014,7.2
YR,T,Y45,UK,2014,37.8
YR,M,Y75,UK,2014,11.6
YR,T,Y55,UK,2014,28.6
YR,T,Y30,UK,2014,52.1
YR,F,Y48,UK,2014,36.5
YR,T,Y69,UK,2014,16.9
YR,M,Y84,UK,2014,6.8
YR,F,Y32,UK,2014,51.8
YR,F,Y31,UK,2014,52.8
YR,T,Y25,UK,2014,57.0
YR,M,Y25,UK,2014,55.2
YR,M,Y24,UK,2014,56.1
YR,F,Y56,UK,2014,29.1
YR,T,Y11,UK,2014,70.8
YR,M,Y59,UK,2014,23.6
YR,T,Y6,UK,2014,75.7
YR,T,Y53,UK,2014,30.4
YR,M,Y42,UK,2014,38.9
YR,M,Y39,UK,2014,41.7
YR,F,Y25,UK,2013,58.4
YR,F,Y83,UK,2013,8.0
YR,M,Y57,UK,2013,25.1
YR,M,Y83,UK,2013,7.0
YR,T,Y45,UK,2013,37.5
YR,M,Y75,UK,2013,11.4
YR,T,Y55,UK,2013,28.3
YR,T,Y30,UK,2013,51.8
YR,F,Y48,UK,2013,36.1
YR,T,Y69,UK,2013,16.7
YR,M,Y84,UK,2013,6.6
YR,F,Y32,UK,2013,51.5
YR,F,Y31,UK,2013,52.5
YR,T,Y25,UK,2013,56.7
YR,M,Y25,UK,2013,54.9
YR,M,Y24,UK,2013,55.9
YR,F,Y56,UK,2013,28.8
YR,T,Y11,UK,2013,70.5
YR,M,Y59,UK,2013,23.4
YR,T,Y6,UK,2013,75.5
YR,T,Y53,UK,2013,30.1
YR,M,Y42,UK,2013,38.6
YR,M,Y39,UK,2013,41.4
YR,F,Y25,UK,2012,58.3
YR,F,Y83,UK,2012,8.0
YR,M,Y57,UK,2012,25.0
YR,M,Y83,UK,2012,7.0
YR,T,Y45,UK,2012,37.4
YR,M,Y75,UK,2012,11.3
YR,T,Y55,UK,2012,28.2
YR,T,Y30,UK,2012,51.8
YR,F,Y48,UK,2012,36.0
YR,T,Y69,UK,2012,16.6
YR,M,Y84,UK,2012,6.5
YR,F,Y32,UK,2012,51.4
YR,F,Y31,UK,2012,52.4
YR,T,Y25,UK,2012,56.6
YR,M,Y25,UK,2012,54.9
YR,M,Y24,UK,2012,55.8
YR,F,Y56,UK,2012,28.7
YR,T,Y11,UK,2012,70.4
YR,M,Y59,UK,2012,23.3
YR,T,Y6,UK,2012,75.4
YR,T,Y53,UK,2012,30.0
YR,M,Y42,UK,2012,38.6
YR,M,Y39,UK,2012,41.4
YR,F,Y25,UK,2011,58.5
YR,F,Y83,UK,2011,8.3
YR,M,Y57,UK,2011,25.0
YR,M,Y83,UK,2011,7.1
YR,T,Y45,UK,2011,37.5
YR,M,Y75,UK,2011,11.5
YR,T,Y55,UK,2011,28.3
YR,T,Y30,UK,2011,51.8
YR,F,Y48,UK,2011,36.2
